dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
28;5;2022-02-28;2000;1278;15;0;16
29;1;2022-02-28;573421;577714;379750;1437;387464
29;2;2022-02-28;90100;106510;216601;996;224932
29;3;2022-02-28;88936;72611;64;0;18
29;4;2022-02-28;18238;57;3;0;14
29;5;2022-02-28;5968;4109;23;0;31
2A;1;2022-02-28;96851;95431;67231;155;69368
2A;2;2022-02-28;10636;11044;11872;33;12697
2A;3;2022-02-28;4271;2768;1;0;1
2A;4;2022-02-28;1555;11;4;0;8
2A;5;2022-02-28;131;82;1;0;1
2B;1;2022-02-28;103359;101213;71898;167;75575
2B;2;2022-02-28;10384;10786;11637;17;12719
2B;3;2022-02-28;5730;4304;4;0;5
2B;4;2022-02-28;2312;23;4;0;10
2B;5;2022-02-28;104;62;2;0;1
30;1;2022-02-28;427656;415080;268825;820;294546
30;2;2022-02-28;84885;92008;112074;438;126135
30;3;2022-02-28;50892;41784;83;0;58
30;4;2022-02-28;13834;88;17;0;37
30;5;2022-02-28;1431;834;25;0;27
31;1;2022-02-28;835345;817830;482426;1571;520412
31;2;2022-02-28;133677;146109;241638;472;262323
31;3;2022-02-28;88308;69840;89;0;29
31;4;2022-02-28;20788;115;8;0;57
31;5;2022-02-28;3564;1962;41;2;60
32;1;2022-02-28;126965;126011;73459;162;76509
32;2;2022-02-28;10579;13089;40210;98;42588
32;3;2022-02-28;13220;11174;14;0;2
32;4;2022-02-28;3771;17;1;0;2
32;5;2022-02-28;602;402;2;0;7
33;1;2022-02-28;958149;957384;626155;2282;661022
33;2;2022-02-28;201890;218355;304980;1134;327677
33;3;2022-02-28;132181;105270;204;0;79
33;4;2022-02-28;33387;184;19;1;50
33;5;2022-02-28;7271;4093;56;1;76
34;1;2022-02-28;688294;674134;459678;1433;493648
34;2;2022-02-28;118194;128696;154549;560;169984
34;3;2022-02-28;89094;70146;154;1;102
34;4;2022-02-28;21353;160;44;0;99
34;5;2022-02-28;2257;1367;49;0;51
35;1;2022-02-28;681267;676033;412875;1417;438650
35;2;2022-02-28;98907;114938;212712;740;226754
35;3;2022-02-28;83602;65857;98;0;19
35;4;2022-02-28;17517;39;4;0;10
35;5;2022-02-28;4851;2807;18;0;23
36;1;2022-02-28;138847;138744;91343;250;96586
36;2;2022-02-28;16375;19647;40649;192;44448
36;3;2022-02-28;16820;14034;16;0;3
36;4;2022-02-28;4759;9;0;0;4
36;5;2022-02-28;958;609;4;0;5
37;1;2022-02-28;368054;367080;248936;895;266382
37;2;2022-02-28;58570;68290;108208;380;117719
37;3;2022-02-28;57158;46601;61;0;18
37;4;2022-02-28;12804;26;1;0;9
37;5;2022-02-28;2736;1622;11;0;20
38;1;2022-02-28;772816;753180;460940;1814;515186
38;2;2022-02-28;122304;136169;185988;666;209995
38;3;2022-02-28;90335;67404;86;0;37
38;4;2022-02-28;14306;81;24;0;32
38;5;2022-02-28;4459;2647;27;0;41
39;1;2022-02-28;148645;144834;93800;296;104949
39;2;2022-02-28;28717;31303;38583;113;43348
39;3;2022-02-28;17799;14771;15;0;11
39;4;2022-02-28;3735;12;2;0;6
39;5;2022-02-28;758;470;2;0;5
40;1;2022-02-28;271285;270957;183633;671;191611
40;2;2022-02-28;39539;44077;74143;226;78591
40;3;2022-02-28;33830;27656;31;0;7
40;4;2022-02-28;7116;39;2;0;20
40;5;2022-02-28;1107;626;6;0;9
41;1;2022-02-28;201882;200837;140935;702;149789
41;2;2022-02-28;35015;39507;56351;225;61942
41;3;2022-02-28;25487;21892;48;0;20
41;4;2022-02-28;7482;11;3;0;3
41;5;2022-02-28;1136;690;7;0;9
42;1;2022-02-28;481676;464022;288312;812;331335
42;2;2022-02-28;49818;59696;82878;285;97253
42;3;2022-02-28;47311;35611;31;0;14
42;4;2022-02-28;9554;42;4;0;12
42;5;2022-02-28;1567;869;34;0;41
43;1;2022-02-28;146183;143352;96108;283;108346
43;2;2022-02-28;13843;15363;18373;84;21525
43;3;2022-02-28;13251;10225;15;0;4
43;4;2022-02-28;3396;11;0;0;2
43;5;2022-02-28;390;240;1;0;7
44;1;2022-02-28;918935;914960;534623;1882;564631
44;2;2022-02-28;121577;137141;289013;891;309289
44;3;2022-02-28;103591;82091;106;0;19
44;4;2022-02-28;21122;56;10;0;17
44;5;2022-02-28;7217;4112;61;0;61
45;1;2022-02-28;425550;415354;243801;839;261645
45;2;2022-02-28;54561;64001;129873;607;142294
45;3;2022-02-28;42988;34842;35;0;6
45;4;2022-02-28;10139;26;3;0;10
45;5;2022-02-28;2763;1710;36;1;37
46;1;2022-02-28;116650;115649;73592;226;75758
46;2;2022-02-28;7392;8711;26964;63;28462
46;3;2022-02-28;9536;7828;2;0;5
46;4;2022-02-28;2284;10;1;0;3
46;5;2022-02-28;344;218;7;0;8
47;1;2022-02-28;193289;191151;131211;393;136092
47;2;2022-02-28;41994;45058;54491;127;58107
47;3;2022-02-28;19163;16016;21;0;17
47;4;2022-02-28;6050;44;4;0;31
47;5;2022-02-28;1141;743;14;0;16
48;1;2022-02-28;46984;45663;27741;64;29905
48;2;2022-02-28;4610;5777;11104;39;12524
48;3;2022-02-28;4774;3642;6;0;3
48;4;2022-02-28;1206;3;1;0;2
48;5;2022-02-28;124;67;0;0;0
49;1;2022-02-28;512564;509615;351220;1275;375007
49;2;2022-02-28;69020;79328;115259;300;126002
49;3;2022-02-28;64026;51866;70;0;18
49;4;2022-02-28;12782;17;1;0;4
49;5;2022-02-28;4387;2581;35;0;39
50;1;2022-02-28;324373;323961;192685;861;201023
50;2;2022-02-28;47229;55011;123392;489;131588
50;3;2022-02-28;37757;30882;20;0;5
50;4;2022-02-28;9212;10;1;0;1
50;5;2022-02-28;2877;1846;16;1;16
51;1;2022-02-28;333270;329440;199469;681;216217
51;2;2022-02-28;51993;61030;110877;335;121343
51;3;2022-02-28;45952;36330;30;0;17
51;4;2022-02-28;9670;18;1;0;4
51;5;2022-02-28;2529;1486;29;0;34
52;1;2022-02-28;111409;109131;64954;195;70565
52;2;2022-02-28;9288;12308;31211;126;34945
52;3;2022-02-28;11236;9257;5;0;5
52;4;2022-02-28;2794;11;0;0;6
52;5;2022-02-28;695;463;1;1;1
53;1;2022-02-28;193700;193236;134476;492;143913
53;2;2022-02-28;28327;31862;45334;141;49309
53;3;2022-02-28;22175;18412;33;0;5
53;4;2022-02-28;5252;4;1;0;0
53;5;2022-02-28;1726;1118;25;1;27
54;1;2022-02-28;418386;414332;275462;1163;299605
54;2;2022-02-28;78922;87675;120447;530;133379
54;3;2022-02-28;55444;43279;56;0;17
54;4;2022-02-28;11690;57;4;0;17
54;5;2022-02-28;3677;2397;10;0;14
55;1;2022-02-28;116080;115315;73690;425;80305
55;2;2022-02-28;11659;14350;28946;148;32328
55;3;2022-02-28;13483;10451;9;0;1
55;4;2022-02-28;3311;7;0;0;1
55;5;2022-02-28;937;594;6;0;7
56;1;2022-02-28;479610;481790;297746;902;310564
56;2;2022-02-28;82275;91497;174793;578;185015
56;3;2022-02-28;65258;53788;67;0;17
56;4;2022-02-28;15097;44;7;0;12
56;5;2022-02-28;3407;2191;25;1;32
57;1;2022-02-28;635138;620427;395365;1656;429100
57;2;2022-02-28;102901;114567;166602;680;182830
57;3;2022-02-28;55471;41803;35;0;12
57;4;2022-02-28;11914;70;15;0;28
57;5;2022-02-28;4056;2624;40;0;56
58;1;2022-02-28;121422;122564;89242;366;95448
58;2;2022-02-28;23217;25580;32253;132;35317
58;3;2022-02-28;14940;12290;32;0;10
58;4;2022-02-28;5011;6;1;0;2
58;5;2022-02-28;609;366;4;0;4
59;1;2022-02-28;1548423;1526336;988814;4263;1097438
59;2;2022-02-28;211403;240863;353743;1377;401882
59;3;2022-02-28;203291;157320;201;0;70
59;4;2022-02-28;42896;183;38;1;114
59;5;2022-02-28;12935;7769;68;0;82
60;1;2022-02-28;504762;484232;282934;997;310709
60;2;2022-02-28;75496;85337;130279;469;148099
60;3;2022-02-28;42358;34338;42;0;17
60;4;2022-02-28;9970;30;5;0;14
60;5;2022-02-28;2172;1242;20;0;27
61;1;2022-02-28;181537;179870;105852;284;113030
