dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
63;0;2022-02-28;526664;509829;370073;1324;400364
64;0;2022-02-28;561517;543560;398212;1373;421431
65;0;2022-02-28;183913;177754;130485;358;139875
66;0;2022-02-28;375954;359310;258022;852;275290
67;0;2022-02-28;901453;865162;612324;1783;670482
68;0;2022-02-28;564719;541222;376782;939;414487
69;0;2022-02-28;1457136;1377511;901549;3005;1034033
70;0;2022-02-28;183882;177891;128743;433;140407
71;0;2022-02-28;444854;430973;312434;1433;342118
72;0;2022-02-28;463501;449437;328220;1245;353251
73;0;2022-02-28;345378;329408;219626;865;246706
74;0;2022-02-28;605086;571647;362556;1362;413621
75;0;2022-02-28;1789385;1695087;1161018;3662;1317778
76;0;2022-02-28;1017390;983252;714851;2079;776077
77;0;2022-02-28;1074361;1013394;666750;1988;753037
78;0;2022-02-28;1143013;1085142;741989;2033;821204
79;0;2022-02-28;309884;301670;225907;671;241775
80;0;2022-02-28;461509;447070;327133;1521;355434
81;0;2022-02-28;306751;294630;212216;519;230004
82;0;2022-02-28;201434;193147;136769;360;147563
83;0;2022-02-28;840813;797327;552541;1886;606775
84;0;2022-02-28;425580;400863;267472;1163;297936
85;0;2022-02-28;589248;575358;430300;1450;456900
86;0;2022-02-28;348829;339131;253970;867;268961
87;0;2022-02-28;301710;292736;222844;471;234580
88;0;2022-02-28;289908;279897;200493;745;221120
89;0;2022-02-28;263003;253577;183185;675;196439
90;0;2022-02-28;104669;100372;70891;187;76990
91;0;2022-02-28;985847;926957;609356;1496;682200
92;0;2022-02-28;1271147;1203237;818490;2032;922434
93;0;2022-02-28;1115033;1005930;573378;1324;675813
94;0;2022-02-28;1048025;978717;631330;1627;722007
95;0;2022-02-28;918808;849811;527899;1295;605837
971;0;2022-02-28;146787;132704;74198;186;77087
972;0;2022-02-28;146993;133659;79068;157;81988
973;0;2022-02-28;96084;79456;34331;23;37610
974;0;2022-02-28;570579;537860;319733;751;330723
976;0;2022-02-28;159239;130549;29209;7;33445
977;0;2022-02-28;8600;7883;4732;11;5273
978;0;2022-02-28;14087;12080;5363;15;5811
